tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
8,8,8,6,1,7,7,4,-1,-1,2,-1
8,8,8,6,1,7,0,1,1,1,1,1
8,8,8,5,1,7,7,0,0,0,0,1
8,8,8,3,1,7,7,4,-1,-1,2,-1
8,8,8,3,1,7,0,1,1,1,1,1
8,8,0,2,1,7,7,0,0,0,0,0
8,6,6,5,1,7,7,0,1,1,1,1
8,6,6,3,1,7,7,4,-1,-1,2,-1
8,6,6,3,1,7,0,2,1,1,-1,-1
8,6,0,2,0,7,0,3,-1,-1,1,0
8,0,0,1,1,7,7,1,1,1,1,1
2,1,1,3,1,7,7,0,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
39,12,6,5,1,0,7,2,2,2,-1,-1
39,12,6,4,0,7,7,3,-1,-1,2,0
39,12,6,3,0,7,7,4,0,-1,-1,-1
39,12,6,3,0,0,7,1,0,0,0,0
12,6,0,2,1,7,7,1,1,1,1,1
6,0,0,1,1,7,7,1,1,1,1,1
30,13,8,6,1,7,7,2,1,1,-1,-1
30,13,8,5,0,7,7,3,-1,-1,1,1
30,13,8,4,1,7,7,2,2,1,-1,-1
30,13,8,3,0,7,7,3,-1,-1,0,0
30,13,0,2,0,7,7,4,0,-1,-1,-1
30,13,0,2,0,0,7,1,0,0,0,0
13,0,0,1,0,7,7,1,0,0,0,0
20,2,2,7,1,0,7,0,1,1,1,1
20,2,2,5,1,7,7,2,2,2,-1,-1
20,2,2,4,0,7,7,3,-1,-1,2,2
20,2,2,3,0,7,7,2,2,2,-1,-1
20,2,0,2,0,7,7,1,0,0,0,0
2,0,0,1,1,7,7,2,2,2,-1,-1
45,19,0,2,1,0,7,1,0,0,0,0
19,0,0,1,0,7,7,1,0,0,0,0
10,9,9,7,1,7,7,1,1,0,1,2
9,9,9,6,0,7,7,4,-1,-1,2,-1
9,9,9,6,0,7,0,1,1,0,1,2
9,9,9,5,0,7,7,4,-1,-1,2,-1
9,9,9,5,0,7,0,1,1,0,1,2
9,9,9,4,0,7,7,4,-1,-1,2,-1
9,9,9,4,0,7,0,1,1,0,1,2
9,9,9,3,0,7,7,4,-1,-1,2,-1
9,9,9,3,0,7,0,1,1,0,1,2
9,9,0,2,0,7,7,4,-1,-1,2,-1
9,9,0,2,0,7,0,0,0,0,0,0
11,11,11,8,1,7,7,2,1,1,-1,-1
11,11,11,7,0,7,7,3,-1,-1,1,1
11,11,11,6,1,7,7,4,-1,-1,0,-1
11,11,11,6,1,7,0,2,1,1,-1,-1
11,11,11,5,0,7,0,3,-1,-1,1,0
11,11,11,4,0,7,7,4,2,-1,-1,-1
11,11,11,4,0,0,7,1,1,1,1,1
11,11,11,3,1,7,7,4,-1,-1,0,-1
11,11,11,3,1,7,0,2,0,0,-1,-1
11,11,0,2,0,7,7,3,-1,-1,0,2
11,0,0,1,0,7,7,1,1,1,1,1
7,2,1,5,1,7,7,0,1,1,1,1
7,1,1,3,1,7,7,2,2,2,-1,-1
7,1,0,2,0,7,7,1,1,1,1,1
1,0,0,1,1,7,7,2,2,2,-1,-1
7,5,4,3,1,0,7,1,1,1,1,1
5,4,0,2,1,7,7,0,1,1,1,0
10,6,0,2,1,7,7,0,0,0,0,0
13,5,3,5,1,0,7,2,2,1,-1,-1
13,5,3,4,0,7,7,3,-1,-1,1,1
13,5,1,3,0,7,7,2,1,1,-1,-1
13,5,0,2,0,7,7,1,0,0,0,0
5,0,0,1,1,7,7,1,1,1,1,1
50,10,4,3,1,7,7,1,0,0,0,1
10,4,0,2,0,7,7,4,-1,-1,0,-1
10,4,0,2,0,7,0,2,1,1,-1,-1
10,0,0,1,0,7,0,1,1,0,1,1
14,4,2,7,1,7,7,0,1,1,1,1
14,1,1,5,1,7,7,2,2,2,-1,-1
14,1,1,4,0,7,7,3,-1,-1,2,2
14,1,1,3,0,7,7,2,2,1,-1,-1
14,1,0,2,0,7,7,1,0,0,1,0
1,0,0,1,0,7,7,3,-1,-1,2,2
10,8,2,5,1,0,7,2,2,2,-1,-1
10,8,2,4,0,7,7,3,-1,-1,2,1
10,8,2,3,0,7,7,1,1,0,1,1
8,2,0,2,0,7,7,2,2,2,-1,-1
8,0,0,1,0,7,7,1,1,1,1,1
36,11,6,8,1,0,1,2,2,2,-1,-1
36,11,6,7,0,7,1,3,-1,-1,2,2
36,11,6,6,0,7,7,2,2,1,-1,-1
36,11,6,5,0,7,7,3,-1,-1,1,1
36,11,6,4,0,7,7,2,1,1,-1,-1
36,11,6,3,0,7,7,3,-1,-1,1,1
36,11,0,2,0,7,7,1,0,0,0,0
11,0,0,1,1,7,7,1,1,1,1,1
32,0,0,1,1,7,7,1,0,0,0,0
17,17,7,4,1,0,7,0,0,0,0,1
17,17,0,2,1,7,7,4,-1,-1,2,-1
17,17,0,2,1,7,0,0,0,0,0,0
25,1,1,8,1,0,7,0,1,1,1,1
25,1,1,6,1,7,7,2,2,2,-1,-1
25,1,1,5,0,7,7,3,-1,-1,2,2
25,1,1,4,0,7,7,2,2,2,-1,-1
25,1,1,3,0,7,7,3,-1,-1,2,2
25,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,0,7,7,3,-1,-1,2,2
64,0,0,1,1,7,7,1,0,0,0,0
36,28,0,2,1,7,7,1,0,0,0,0
28,0,0,1,1,7,7,1,0,0,0,0
